method,run,generation,best
repair_flip,3,7,648.0
repair_flip,3,8,648.0
repair_flip,3,9,648.0
repair_flip,3,10,648.0
repair_flip,3,11,648.0
repair_flip,3,12,648.0
repair_flip,3,13,648.0
repair_flip,3,14,648.0
repair_flip,3,15,648.0
repair_flip,3,16,648.0
repair_flip,3,17,648.0
repair_flip,3,18,648.0
repair_flip,3,19,648.0
repair_flip,3,20,648.0
repair_flip,3,21,648.0
repair_flip,3,22,648.0
repair_flip,3,23,648.0
repair_flip,3,24,648.0
repair_flip,3,25,648.0
repair_flip,3,26,648.0
repair_flip,3,27,648.0
repair_flip,3,28,648.0
repair_flip,3,29,648.0
repair_flip,3,30,648.0
repair_flip,3,31,648.0
repair_flip,3,32,648.0
repair_flip,3,33,648.0
repair_flip,3,34,648.0
repair_flip,3,35,648.0
repair_flip,3,36,648.0
repair_flip,3,37,648.0
repair_flip,3,38,648.0
repair_flip,3,39,648.0
repair_flip,3,40,648.0
repair_flip,3,41,648.0
repair_flip,3,42,648.0
repair_flip,3,43,648.0
repair_flip,3,44,648.0
repair_flip,3,45,648.0
repair_flip,3,46,648.0
repair_flip,3,47,648.0
repair_flip,3,48,648.0
repair_flip,3,49,648.0
repair_flip,3,50,648.0
repair_flip,3,51,648.0
repair_flip,3,52,648.0
repair_flip,3,53,648.0
repair_flip,3,54,648.0
repair_flip,3,55,648.0
repair_flip,3,56,648.0
repair_flip,3,57,648.0
repair_flip,3,58,648.0
repair_flip,3,59,648.0
repair_flip,3,60,648.0
repair_flip,3,61,648.0
repair_flip,3,62,648.0
repair_flip,3,63,648.0
repair_flip,4,0,543.0
repair_flip,4,1,566.0
repair_flip,4,2,619.0
repair_flip,4,3,619.0
repair_flip,4,4,619.0
repair_flip,4,5,624.0
repair_flip,4,6,634.0
repair_flip,4,7,638.0
repair_flip,4,8,638.0
repair_flip,4,9,640.0
repair_flip,4,10,640.0
repair_flip,4,11,648.0
repair_flip,4,12,648.0
repair_flip,4,13,648.0
repair_flip,4,14,648.0
repair_flip,4,15,648.0
repair_flip,4,16,648.0
repair_flip,4,17,648.0
repair_flip,4,18,648.0
repair_flip,4,19,648.0
repair_flip,4,20,648.0
repair_flip,4,21,648.0
repair_flip,4,22,648.0
repair_flip,4,23,648.0
repair_flip,4,24,648.0
repair_flip,4,25,648.0
repair_flip,4,26,648.0
repair_flip,4,27,648.0
repair_flip,4,28,648.0
repair_flip,4,29,648.0
repair_flip,4,30,648.0
repair_flip,4,31,648.0
repair_flip,4,32,648.0
repair_flip,4,33,648.0
repair_flip,4,34,648.0
repair_flip,4,35,648.0
repair_flip,4,36,648.0
repair_flip,4,37,648.0
repair_flip,4,38,648.0
repair_flip,4,39,648.0
repair_flip,4,40,648.0
repair_flip,4,41,648.0
repair_flip,4,42,648.0
repair_flip,4,43,648.0
repair_flip,4,44,648.0
repair_flip,4,45,648.0
repair_flip,4,46,648.0
repair_flip,4,47,648.0
repair_flip,4,48,648.0
repair_flip,4,49,648.0
repair_flip,4,50,648.0
repair_flip,4,51,648.0
repair_flip,4,52,648.0
repair_flip,4,53,648.0
repair_flip,4,54,648.0
repair_flip,4,55,648.0
repair_flip,4,56,648.0
repair_flip,4,57,648.0
repair_flip,4,58,648.0
repair_flip,4,59,648.0
repair_flip,4,60,648.0
repair_flip,4,61,648.0
repair_flip,4,62,648.0
repair_flip,4,63,648.0
repair_flip,5,0,497.0
repair_flip,5,1,535.0
repair_flip,5,2,584.0
repair_flip,5,3,606.0
repair_flip,5,4,606.0
repair_flip,5,5,619.0
repair_flip,5,6,623.0
repair_flip,5,7,634.0
repair_flip,5,8,640.0
repair_flip,5,9,640.0
repair_flip,5,10,640.0
repair_flip,5,11,640.0
repair_flip,5,12,640.0
repair_flip,5,13,640.0
repair_flip,5,14,640.0
repair_flip,5,15,640.0
repair_flip,5,16,640.0
repair_flip,5,17,640.0
repair_flip,5,18,640.0
